,,Header,MultiTrack,128
0,0,Sequence/Track Name,"horror_bass01.ogg"
0,0,Set Tempo,428571
0,192,Note On,0,60,64
0,224,Note Off,0,60,64
0,448,Note On,0,60,64
0,480,Note Off,0,60,64
0,672,Note On,0,60,64
0,704,Note Off,0,60,64
0,896,Note On,0,60,64
0,928,Note Off,0,60,64
0,1120,Note On,0,60,64
0,1152,Note Off,0,60,64
0,1344,Note On,0,60,64
0,1376,Note Off,0,60,64
0,1568,Note On,0,60,64
0,1600,Note Off,0,60,64
0,1760,Note On,0,60,64
0,1792,Note Off,0,60,64
0,1984,Note On,0,60,64
0,2016,Note Off,0,60,64
0,2176,Note On,0,60,64
0,2208,Note Off,0,60,64
0,2432,Note On,0,60,64
0,2464,Note Off,0,60,64
0,2624,Note On,0,60,64
0,2656,Note Off,0,60,64
0,2880,Note On,0,60,64
0,2912,Note Off,0,60,64
0,3072,Note On,0,60,64
0,3136,Note Off,0,60,64
0,3328,Note On,0,60,64
0,3360,Note Off,0,60,64
0,3584,Note On,0,62,64
0,3616,Note Off,0,62,64
0,4032,Note On,0,62,64
0,4064,Note Off,0,62,64
0,4512,Note On,0,62,64
0,4544,Note Off,0,62,64
0,4960,Note On,0,62,64
0,4992,Note Off,0,62,64
0,5408,Note On,0,62,64
0,5440,Note Off,0,62,64
0,5824,Note On,0,62,64
0,5856,Note Off,0,62,64
0,6272,Note On,0,62,64
0,6304,Note Off,0,62,64
0,6688,Note On,0,62,64
0,6720,Note Off,0,62,64
0,6976,Note On,0,60,64
0,7008,Note Off,0,60,64
0,7200,Note On,0,62,64
0,7232,Note Off,0,62,64
0,7360,Note On,0,62,64
0,7424,Note Off,0,62,64
0,7584,Note On,0,62,64
0,7616,Note Off,0,62,64
0,7808,Note On,0,62,64
0,7840,Note Off,0,62,64
0,8032,Note On,0,62,64
0,8064,Note Off,0,62,64
0,8224,Note On,0,62,64
0,8256,Note Off,0,62,64
0,8448,Note On,0,62,64
0,8480,Note Off,0,62,64
0,8672,Note On,0,62,64
0,8704,Note Off,0,62,64
0,8896,Note On,0,62,64
0,8928,Note Off,0,62,64
0,9056,Note On,0,60,64
0,9088,Note Off,0,60,64
0,9184,Note On,0,60,64
0,9216,Note Off,0,60,64
0,9312,Note On,0,60,64
0,9344,Note Off,0,60,64
0,9408,Note On,0,60,64
0,9440,Note Off,0,60,64
0,9536,Note On,0,60,64
0,9568,Note Off,0,60,64
0,9632,Note On,0,60,64
0,9664,Note Off,0,60,64
0,9728,Note On,0,60,64
0,9760,Note Off,0,60,64
0,9824,Note On,0,60,64
0,9856,Note Off,0,60,64
0,9952,Note On,0,60,64
0,10016,Note Off,0,60,64
0,10048,Note On,0,60,64
0,10080,Note Off,0,60,64
0,10112,Note On,0,60,64
0,10144,Note Off,0,60,64
0,10176,Note On,0,60,64
0,10208,Note Off,0,60,64
0,10240,Note On,0,60,64
0,10272,Note Off,0,60,64
